¿En qué año ganó Messi su primer Balón de Oro?, 2009, 2010, 2011, 2008, 2009,
¿Con qué equipo debutó Messi profesionalmente?, Barcelona, Newell's Old Boys, PSG, Argentina Sub-20, Barcelona,
¿Cuántas veces ha ganado Messi el Balón de Oro hasta 2023?, 6, 7, 8, 5, 8,
¿Cuál es el apodo de Messi?, La Pulga, El Dibu, El Fenómeno, El Bicho, La Pulga,
¿Qué dorsal usó Messi al debutar en el Barcelona?, 30, 10, 19, 7, 30,
¿En qué año ganó Messi la Copa del Mundo?, 2014, 2018, 2022, 2006, 2022,
¿Contra qué equipo marcó Messi su primer gol con el Barcelona?, Espanyol, Sevilla, Albacete, Valencia, Albacete,
¿Cuántos goles anotó Messi con el Barcelona?, 672, 680, 700, 650, 672,
¿De qué ciudad es originario Messi?, Rosario, Buenos Aires, Córdoba, Santa Fe, Rosario,
¿En qué año debutó Messi con la selección argentina?, 2005, 2006, 2007, 2004, 2005,
¿En qué año ganó Dibu Martínez la Copa América?, 2021, 2019, 2020, 2022, 2021,
¿Qué posición juega Dibu Martínez?, Portero, Defensa, Mediocampista, Delantero, Portero,
¿Con qué equipo de la Premier League jugó en 2023?, Aston Villa, Arsenal, Chelsea, Manchester United, Aston Villa,
¿En qué ciudad nació Dibu Martínez?, Mar del Plata, Buenos Aires, Rosario, Córdoba, Mar del Plata,
¿En qué año debutó Dibu con la selección argentina?, 2011, 2021, 2020, 2015, 2021,
¿Qué título ganó Dibu en 2022?, Copa Mundial, Copa América, Confederaciones, Eurocopa, Copa Mundial,
¿Cuántos penales atajó Dibu en la final de Qatar 2022?, 1, 2, 3, 4, 1,
¿Qué dorsal usa Dibu Martínez en la selección argentina?, 23, 1, 12, 22, 23,
¿Qué premio ganó Dibu en el Mundial 2022?, Guante de Oro, Balón de Oro, Mejor Jugador Joven, Bota de Oro, Guante de Oro,
¿En qué club europeo debutó Dibu Martínez?, Arsenal, Aston Villa, Manchester City, Chelsea, Arsenal,
¿Con qué equipo debutó Neymar profesionalmente?, Santos, Barcelona, PSG, Real Madrid, Santos,
¿En qué año se unió Neymar al Barcelona?, 2013, 2014, 2012, 2015, 2013,
¿Qué dorsal usa Neymar en el PSG?, 10, 11, 7, 9, 10,
¿Cuántos goles anotó Neymar en los JJ.OO. 2016?, 4, 3, 5, 6, 4,
¿En qué ciudad nació Neymar?, Sao Paulo, Río de Janeiro, Mogi das Cruzes, Brasilia, Mogi das Cruzes,
